"id","winner","total_votes","name","x0001e","x0002e","x0003e","x0005e","x0006e","x0007e","x0008e","x0009e","x0010e","x0011e","x0012e","x0013e","x0014e","x0015e","x0016e","x0017e","x0018e","x0019e","x0020e","x0021e","x0022e","x0023e","x0024e","x0025e","x0026e","x0027e","x0029e","x0030e","x0031e","x0033e","x0034e","x0035e","x0036e","x0037e","x0038e","x0039e","x0040e","x0041e","x0042e","x0043e","x0044e","x0045e","x0046e","x0047e","x0048e","x0049e","x0050e","x0051e","x0052e","x0053e","x0054e","x0055e","x0056e","x0057e","x0058e","x0059e","x0060e","x0061e","x0062e","x0064e","x0065e","x0066e","x0067e","x0068e","x0069e","x0071e","x0072e","x0073e","x0074e","x0075e","x0076e","x0077e","x0078e","x0079e","x0080e","x0081e","x0082e","x0083e","x0084e","x0085e","x0086e","x0087e","x0088e","x0089e","c01_001e","c01_002e","c01_003e","c01_004e","c01_005e","c01_006e","c01_007e","c01_008e","c01_009e","c01_010e","c01_011e","c01_012e","c01_013e","c01_014e","c01_015e","c01_016e","c01_017e","c01_018e","c01_019e","c01_020e","c01_021e","c01_022e","c01_023e","c01_024e","c01_025e","c01_026e","c01_027e","income_per_cap_2016","income_per_cap_2017","income_per_cap_2018","income_per_cap_2019","income_per_cap_2020","gdp_2016","gdp_2017","gdp_2018","gdp_2019","gdp_2020","x2013_code"
20,"Trump",3101,"Mitchell County, Kansas",6053,3099,2954,385,445,315,439,392,571,637,615,407,435,718,431,263,43.1,1353,4858,4700,4367,1713,1412,4700,2400,2300,1412,654,758,6053,5968,85,5968,5861,35,44,12,0,10,0,19,6,0,11,0,0,0,2,0,0,0,0,0,9,85,34,27,17,0,5946,69,71,36,0,16,154,147,5,0,2,5899,5745,35,44,19,0,0,56,0,56,3301,4694,2400,2294,623,114,175,280,54,4077,48,186,1180,1037,563,782,281,3843,1063,571,544,173,637,614,217,1457,1369,301,1412,1316,372,"48265","49848","57589","61496","70316","376773","393161","431726","466742","517497",6
21,"Trump",5684,"Nemaha County, Kansas",10109,5151,4958,742,705,787,677,565,1049,1079,1117,588,797,924,564,515,40.7,2684,7786,7425,7014,2530,2003,7425,3709,3716,2003,906,1097,10109,9920,189,9920,9745,57,65,0,0,0,3,18,9,0,0,0,9,0,0,0,0,0,0,0,35,189,38,38,28,0,9908,124,114,72,7,84,220,119,0,0,101,9889,9574,57,64,18,0,2,174,34,140,4622,7404,3694,3710,792,93,406,218,75,6633,155,297,2416,1148,835,1213,569,6181,1782,1049,999,410,1079,1055,374,2502,2406,601,2003,1721,397,"46070","49910","51056","50709","57969","429689","497163","509647","438496","509747",6
22,"Trump",12064,"Winneshiek County, Iowa",20090,9960,10130,893,959,1112,1862,2029,1867,1925,2253,1473,1570,2198,1279,670,41.9,3705,16912,16385,14674,4934,4147,16385,8030,8355,4147,1930,2217,20090,19936,154,19936,19347,183,67,0,0,0,3,183,0,32,4,12,83,0,52,2,0,0,2,0,154,154,40,12,17,0,19469,251,79,214,24,207,463,317,27,0,119,19627,19072,183,67,183,2,19,101,0,101,9008,16123,7885,8238,3150,147,383,2388,232,13235,229,290,4545,2231,1998,2451,1491,12716,3942,1867,1837,644,1925,1913,618,5296,5194,1524,4147,3772,1156,"45705","46107","48524","50096","54556","1005186","959945","1006446","1032522","1068709",6
23,"Trump",14859,"Cocke County, Tennessee",35797,17485,18312,1888,1894,2211,1956,1768,4005,4012,4952,2708,2795,4691,2202,715,45.3,7303,29475,28494,27604,9371,7608,28494,13622,14872,7608,3612,3996,35797,35206,591,35206,33892,672,257,46,0,0,7,336,273,0,0,63,0,0,0,39,33,0,0,6,10,591,333,95,31,0,34478,1006,365,372,53,123,919,269,203,73,374,34878,33295,454,257,336,39,0,497,19,478,17640,28240,13459,14781,2414,463,1299,564,88,26080,1887,2870,12540,4367,1470,1803,1143,21323,2946,4005,3607,550,4012,3584,558,10455,8483,998,7608,5649,840,"30520","31172","32213","33984","37322","751705","752757","779032","807176","835183",5
24,"Trump",4363,"White Pine County, Nevada",9570,5732,3838,459,531,519,388,515,1440,1470,1169,732,610,1013,591,133,40.8,1828,7924,7742,7626,2210,1737,7742,4736,3006,1737,895,842,9570,9305,265,9305,8055,619,377,0,0,63,4,106,0,10,34,5,43,0,14,0,0,0,0,0,148,265,49,70,45,0,8316,678,453,155,28,211,1579,1176,17,0,386,7991,6846,592,351,89,0,0,113,9,104,4538,7428,4512,2916,584,193,151,240,0,7158,313,521,3064,1652,688,676,244,6324,920,1440,1128,122,1470,1254,291,2511,2335,324,1737,1607,183,"40263","43567","45826","48628","53734","590557","725255","644032","672294","781428",6
25,"Trump",36746,"Whitfield County, Georgia",104122,51708,52414,6791,7610,7818,7576,6984,13741,13304,13866,6309,5636,8499,4479,1509,36.2,27000,80590,77122,72698,17859,14487,77122,37976,39146,14487,6466,8021,104122,100037,4085,100037,89571,3605,1022,26,0,0,0,1468,201,179,42,165,288,231,362,18,15,0,0,3,4353,4085,817,465,94,55,93515,4647,1829,1788,126,6789,36952,31007,762,425,4758,67170,60444,3512,153,1449,3,67,1542,33,1509,40236,64764,32132,32632,9779,1618,3773,3661,727,67343,9644,9610,20683,12739,3617,6983,4067,48089,11050,13741,11258,2038,13304,8890,2186,25811,17882,4045,14487,10059,2781,"36612","37264","39556","40991","44590","5600146","5661181","5763329","5906044","5844815",4
26,"Trump",15868,"Cheboygan County, Michigan",25435,12762,12673,1005,971,1391,1319,1180,2384,2467,3256,2041,2416,4167,2090,748,51.6,4196,21835,21239,20547,8659,7005,21239,10564,10675,7005,3378,3627,25435,24260,1175,24260,23484,149,461,0,268,0,0,115,6,8,51,0,10,16,24,3,0,0,0,3,48,1175,128,756,38,9,24650,290,1241,163,7,278,385,319,58,0,8,25050,23197,144,452,114,3,17,1123,203,920,18582,21120,10509,10611,1670,273,617,658,122,19569,389,1546,6990,4648,1725,2596,1675,17634,4271,2384,2158,530,2467,2152,501,7713,6999,1426,7005,6325,1814,"36525","37718","38566","40691","45719","624869","652333","682666","678919","630382",6
27,"Trump",20754,"Orange County, Virginia",36501,17950,18551,1939,2017,2402,2257,1937,3858,4511,4808,3209,2306,4289,2253,715,42.7,7660,29668,28841,27278,8509,7257,28841,14031,14810,7257,3223,4034,36501,34913,1588,34913,29151,4710,89,0,0,0,0,534,517,0,8,9,0,0,0,0,0,0,0,0,429,1588,728,189,149,154,30485,5780,554,695,0,783,1916,745,340,0,831,34585,28366,4643,82,517,0,22,955,15,940,15254,28063,13718,14345,2892,303,1161,1122,306,25949,715,1946,9427,5642,1548,4208,2463,23288,6671,3858,3703,662,4511,4248,1017,10323,9095,2435,7257,6242,2557,"47634","49141","50386","52574","55369","1064387","1117439","1194171","1233258","1235735",6
28,"Trump",9068,"Holmes County, Florida",19530,10588,8942,944,1161,1109,1081,1106,2630,2313,2644,1380,1291,2151,1375,345,42.2,3914,16096,15616,14873,4502,3871,15616,8467,7149,3871,1775,2096,19530,19069,461,19069,17165,1365,203,49,0,0,0,135,0,0,0,0,0,130,5,63,32,7,2,22,138,461,36,196,23,0,17581,1452,409,275,65,316,586,222,140,44,180,18944,16858,1344,203,131,63,22,323,44,279,8723,15414,8310,7104,1487,406,590,450,41,14129,573,2209,6223,2989,735,1047,353,11347,1400,2630,2237,225,2313,1834,245,5315,4334,619,3871,2942,311,"28386","30011","30895","32243","34564","336766","357523","357515","423349","430350",6
29,"Trump",141595,"Cumberland County, Pennsylvania",251487,124569,126918,13458,14252,14535,16677,15971,32826,31272,32377,17490,16147,26209,13108,7165,40.7,51036,205958,200451,188903,56425,46482,200451,98408,102043,46482,20330,26152,251487,243550,7937,243550,218352,10233,269,0,5,0,29,11693,5977,1186,624,186,852,1181,1687,40,0,29,0,11,2963,7937,2878,959,1678,229,225650,13964,1607,13589,160,4899,10516,1919,4567,316,3714,240971,213304,9561,146,11612,15,245,6088,396,5692,107024,193774,94922,98852,23857,2500,6430,12397,2530,176594,4344,8223,55989,28401,13546,40941,25150,164027,66091,32826,30911,14811,31272,29698,13933,66014,61816,24083,46482,41602,13264,"50675","52231","54246","56628","61296","14758711","15008348","15864699","16842657","16877332",3
30,"Biden",3666,"Dimmit County, Texas",10232,4903,5329,703,673,1088,839,469,1093,1550,1022,580,449,1003,520,243,36.5,2912,7739,7320,6900,1989,1766,7320,3450,3870,1766,785,981,10232,8562,1670,8562,7182,9,12,0,0,0,0,164,1,0,153,0,0,10,0,0,0,0,0,0,1195,1670,26,0,0,0,8852,35,36,164,0,2839,8938,8164,7,0,767,1294,1072,9,12,164,0,7,30,4,26,4454,6877,3222,3655,860,317,367,135,41,6460,1610,473,1972,1244,202,522,437,4377,959,1093,759,183,1550,1294,305,2051,1535,243,1766,789,228,"34951","38792","42896","49033","50347","2337903","3134188","3707093","3248848","1640934",6
31,"Trump",66953,"Boone County, Kentucky",132368,65608,66760,8684,10293,9532,9219,7657,16096,18162,18488,8729,7540,11327,4922,1719,38,34655,101829,97713,92949,21845,17968,97713,48000,49713,17968,8069,9899,132368,128623,3745,128623,118730,4329,140,54,0,0,0,3114,1232,321,200,341,80,534,406,27,27,0,0,0,2283,3745,1382,502,763,31,122284,6012,840,4231,155,2948,5660,2760,725,217,1958,126708,115319,4302,132,3114,27,493,3321,264,3057,49938,93908,45950,47958,10730,1454,3692,4464,1120,86983,1800,3692,25314,20286,7887,17990,10014,81491,28004,16096,15170,5007,18162,17337,7438,34757,32921,11443,17968,16063,4116,"44755","45979","48030","50245","53445","10107337","11006049","11690227","12358217","12080273",2
32,"Trump",15073,"Wythe County, Virginia",28725,14034,14691,1331,1526,1698,1656,1393,3082,3314,4329,2103,2205,3529,1794,765,45.9,5672,23897,23053,22267,7364,6088,23053,11162,11891,6088,2741,3347,28725,28205,520,28205,27254,585,45,15,0,0,0,283,215,0,0,17,51,0,0,0,0,0,0,0,38,520,401,108,0,0,27773,989,155,283,0,47,366,312,39,1,14,28359,26935,585,45,283,0,0,511,0,511,14402,22782,11096,11686,1932,249,651,795,237,21121,789,1872,8220,3768,2457,2373,1642,18460,4015,3082,2956,654,3314,3168,691,8637,7470,1668,6088,4866,1002,"32757","33910","34970","36422","39930","1594009","1688393","1595801","1501635","1536110",6
33,"Trump",19628,"DeKalb County, Indiana",43193,21563,21630,2764,3014,2859,2826,2499,5404,5203,5738,3126,2819,4138,2000,803,38.5,10473,33973,32720,31094,8491,6941,32720,16143,16577,6941,3096,3845,43193,42457,736,42457,41894,165,19,7,0,0,0,196,0,18,84,0,93,1,0,0,0,0,0,0,183,736,272,191,156,9,42621,454,227,360,0,291,1240,768,100,0,372,41953,41013,165,19,152,0,0,604,6,598,18162,32564,16071,16493,3489,912,1508,786,283,29231,563,2061,12839,5793,2713,3866,1396,26607,5262,5404,4977,1191,5203,4847,1124,11683,10712,1932,6941,6071,1015,"41481","42810","44351","45923","48731","2452115","2475014","2599786","2677822","2531675",5
34,"Trump",3396,"Nicholas County, Kentucky",7189,3510,3679,436,445,484,504,402,823,867,988,517,518,731,374,100,40.9,1647,5736,5542,5282,1461,1205,5542,2723,2819,1205,551,654,7189,7051,138,7051,6929,67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,138,45,93,0,0,7067,112,99,0,0,49,108,62,0,0,46,7081,6883,54,6,0,0,0,138,0,138,3293,5493,2723,2770,624,94,232,263,35,4918,320,643,2233,838,446,195,243,3955,438,823,759,25,867,823,122,2023,1552,195,1205,821,96,"32335","33092","32991","34420","37934","90667","98241","95122","97446","96999",6
35,"Trump",5479,"Coosa County, Alabama",10696,5499,5197,464,338,629,511,473,1005,1360,1528,1076,815,1504,795,198,49,1763,9075,8933,8618,2906,2497,8933,4462,4471,2497,1179,1318,10696,10603,93,10603,7052,3451,32,23,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,68,93,0,82,0,2,7143,3462,125,0,0,68,137,56,16,0,65,10559,6924,3451,23,0,0,68,93,0,93,6615,8879,4454,4425,652,135,295,193,29,8281,273,1121,3482,1870,578,659,298,6887,957,1005,852,57,1360,1205,117,3419,2796,452,2497,2034,331,"30002","30656","31901","33311","35542","193447","187929","200106","203146","205716",5
36,"Trump",4225,"Ballard County, Kentucky",7914,3945,3969,401,490,447,502,459,781,940,1055,524,624,959,493,239,44,1658,6460,6256,5935,2107,1691,6256,3056,3200,1691,739,952,7914,7792,122,7792,7363,389,13,4,0,0,0,22,0,8,12,0,2,0,0,0,0,0,0,0,5,122,31,23,52,0,7473,432,36,74,2,19,108,21,4,12,71,7806,7307,389,4,20,0,0,86,0,86,3915,6227,3047,3180,641,104,356,179,2,5615,210,434,2194,1383,510,586,298,4971,884,781,735,200,940,855,211,2203,1997,259,1691,1384,214,"35644","37114","36769","41576","45690","203710","207272","196076","227475","233691",5
37,"Trump",22734,"Waller County, Texas",53626,26658,26968,3305,4159,3518,5621,7226,6433,5709,5463,2972,2886,3927,1843,564,29.5,12913,42082,40713,34768,7989,6334,40713,20026,20687,6334,2983,3351,53626,51741,1885,51741,29346,13070,378,28,0,0,5,657,72,137,49,55,34,202,108,20,0,0,19,1,8270,1885,194,264,89,41,31091,13401,696,758,26,9555,16312,14207,59,260,1786,37314,22956,12989,89,613,20,47,600,48,552,17292,36670,17894,18776,10916,948,3027,6372,569,29797,2269,2130,9383,7668,1500,4560,2287,25398,6847,6433,6050,1484,5709,4631,1666,11321,9455,2500,6334,5262,1197,"37966","39455","41672","45670","47291","2064058","2324839","2508738","3012960","3067341",2
38,"Trump",2451,"Oneida County, Idaho",4429,2227,2202,282,387,379,280,262,413,513,413,356,285,480,238,141,39.5,1259,3321,3170,3056,1064,859,3170,1585,1585,859,406,453,4429,4353,76,4353,4299,4,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33,76,11,40,0,0,4375,15,57,0,25,33,195,195,0,0,0,4234,4104,4,17,0,0,33,76,0,76,2006,3032,1521,1511,331,66,88,120,57,2839,36,226,930,810,207,527,103,2577,630,413,358,104,513,503,218,1054,988,190,859,728,118,"33882","34172","35201","38402","42200","133978","127488","134212","123409","135777",6
40,"Trump",9012,"Boone County, West Virginia",21897,10940,10957,1086,1298,1420,1382,1068,2192,2815,3019,1289,1975,2780,1028,545,44,4674,17816,17223,16459,5671,4353,17223,8536,8687,4353,2015,2338,21897,21541,356,21541,21385,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,356,241,110,5,0,21741,391,110,5,0,6,46,46,0,0,0,21851,21365,150,0,0,0,6,330,0,330,11193,17194,8533,8661,1580,301,458,736,85,15643,862,1735,7286,2590,1348,1035,787,13046,1822,2192,2042,286,2815,2642,407,6283,5044,680,4353,3318,449,"30786","32227","34521","35464","38831","657442","680079","702039","664273","634479",4
41,"Trump",127375,"Bell County, Texas",355700,177026,178674,29846,26461,27485,24750,30472,59399,46248,37826,19039,15535,23242,11091,4306,31.3,98454,267137,257246,240710,48046,38639,257246,127278,129968,38639,17099,21540,355700,327584,28116,327584,216666,85986,1685,174,11,98,0,10029,1011,894,2258,272,3006,527,2061,2346,481,1011,481,373,10872,28116,7399,2141,3948,594,240777,97977,5529,16692,4675,20975,90125,60643,17122,480,11880,265575,158981,77218,837,9557,2211,745,16026,496,15530,142110,244287,121378,122909,40560,4304,16653,16650,2953,216686,7851,11784,55769,61332,25058,36145,18747,197051,54892,59399,54956,13594,46248,42892,12633,72400,65480,18912,38639,33723,9753,"41174","42526","42846","43781","46459","15397429","15908663","16494247","17220168","17967213",3
42,"Trump",93208,"Citrus County, Florida",147938,71999,75939,5263,5752,6889,6083,5686,12270,11575,16389,11786,12407,29061,17897,6880,56.7,21799,128768,126139,123067,61528,53838,126139,60583,65556,53838,25631,28207,147938,144035,3903,144035,135714,4043,412,39,34,0,0,2616,207,141,1395,89,180,539,65,26,18,0,0,8,1224,3903,739,865,355,7,138945,5521,1427,3542,35,2551,8677,2063,3107,1067,2440,139261,129540,3815,378,2482,26,349,2671,170,2501,80222,123455,59407,64048,7874,1366,3399,2654,455,118265,3188,9276,44939,27231,11284,13674,8673,105801,22347,12270,10724,1840,11575,10210,1990,40582,36403,7315,53838,48464,11202,"36347","36916","37942","39985","42292","3774278","3755067","3996091","4492922","4599101",4
43,"Biden",103349,"Saginaw County, Michigan",191166,92795,98371,11089,10950,11616,12967,12541,23760,20695,23858,13499,13557,20839,10359,5436,41,41042,155193,150124,141649,44703,36634,150124,71784,78340,36634,16013,20621,191166,183169,7997,183169,141928,36004,640,5,236,9,1,2259,806,431,392,37,59,239,295,20,20,0,0,0,2318,7997,2529,1215,704,280,149321,39396,2474,3142,104,5197,16680,14986,524,72,1098,174486,131755,35178,399,2258,20,203,4673,291,4382,87789,148288,70664,77624,18121,2475,5857,8796,993,132003,3391,9464,43206,32500,14307,19176,9959,119148,29135,23760,21086,5887,20695,19015,5800,50914,47253,11002,36634,31794,6446,"36524","37084","39360","42114","46419","8086196","8138691","8494846","8863546","8650696",4
45,"Trump",3773,"Rosebud County, Montana",9065,4538,4527,672,588,828,651,603,1055,869,1006,635,784,870,365,139,36.5,2494,6888,6571,6215,1906,1374,6571,3277,3294,1374,668,706,9065,8659,406,8659,4785,23,3505,0,68,50,139,64,0,0,64,0,0,0,0,0,0,0,0,0,282,406,12,174,0,4,5184,39,3686,67,0,495,435,413,22,0,0,8630,4750,23,3423,64,0,0,370,213,157,4149,6471,3245,3226,848,184,330,292,42,5723,173,378,1809,1643,700,648,372,5172,1020,1055,938,207,869,796,139,2425,2247,445,1374,1191,229,"42684","44478","45657","47753","52220","864883","888938","826417","882315","734908",6
46,"Trump",3077,"Greenwood County, Kansas",6010,3072,2938,291,341,425,330,251,522,669,685,525,463,841,490,177,48.6,1287,4902,4723,4555,1816,1508,4723,2381,2342,1508,726,782,6010,5783,227,5783,5694,12,21,3,0,1,0,23,0,0,17,0,6,0,0,0,0,0,0,0,33,227,43,160,8,0,5921,68,194,31,0,36,240,195,10,15,20,5770,5508,12,21,23,0,0,206,3,203,4032,4703,2374,2329,351,54,76,198,23,4372,120,220,1617,1163,373,642,237,4032,879,522,452,99,669,643,103,1673,1533,359,1508,1404,318,"38879","39131","40374","41624","46373","154456","154857","160613","161271","161496",6
47,"Trump",18876,"Chesterfield County, South Carolina",45833,22304,23529,2616,2487,3276,2789,2764,5394,5156,6487,3499,2941,5192,2501,731,42.3,10180,36991,35653,33899,10009,8424,35653,17191,18462,8424,3700,4724,45833,43883,1950,43883,28994,14035,107,34,0,0,0,207,172,17,13,5,0,0,0,25,0,15,0,10,515,1950,1372,337,101,85,30841,15544,566,314,25,530,2020,1631,179,16,194,43813,27532,13962,79,207,25,76,1932,0,1932,21764,34908,16726,18182,3752,653,1632,1340,127,31901,2081,5008,12490,5969,2400,2618,1335,24812,3953,5394,4690,793,5156,3965,550,12927,10319,1565,8424,5838,1045,"30018","30903","32452","34058","36209","1509548","1522653","1552453","1635062","1498567",6
49,"Trump",3658,"Lafayette County, Florida",8576,5188,3388,348,662,331,561,605,1341,1417,1055,613,351,757,383,152,38.6,1697,7114,6879,6565,1503,1292,6879,4314,2565,1292,614,678,8576,8372,204,8372,6902,1353,14,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,22,73,8,204,63,37,8,0,7106,1431,59,8,95,96,1389,621,132,515,121,7187,5649,1344,14,0,95,0,85,0,85,3344,6548,4132,2416,810,111,338,209,152,6069,713,916,2545,1054,278,272,291,4440,563,1341,893,198,1417,968,124,2019,1551,95,1292,1028,146,"23384","25105","25100","27405","29032","149107","150462","154869","133810","138602",6
